본부코드,본부명,지사코드,지사명,노선코드,노선명,방향,휴게소명,이정,면적1,면적2,면적3,면적4,광장포장형태1,광장포장형태2,광장포장형태3,광장포장형태4,두께1,두께2,두께3,두께4,비고
N00309,충청지역본부,N00344,영동지사,0010,경부선,부산,금강(하),248.500,,11000.000,,,,100,,,,8.000,,,
N01797,대전충남본부,N00356,당진지사,0150,서해안선,목포,행담도휴게소,275.400,,35250.000,,,,100,,,,10.000,,,
N01797,대전충남본부,N00356,당진지사,0150,서해안선,서울,행담도휴게소,275.400,,35250.000,,,,100,,,,10.000,,,
N00309,충청지역본부,N00363,보령지사,0150,서해안선,목포,홍성휴게소,219.500,3353.000,,,,300,,,,8.000,,,,
N00309,충청지역본부,N00363,보령지사,0150,서해안선,서울,홍성휴게소,219.500,3353.000,,,,300,,,,8.000,,,,
N01801,부산경남본부,N00534,산청지사,0350,통영대전선/중부선,통영,함양휴게소(상),107.310,,23535.000,,,,100,,,,22.000,,,ILP포장
N01801,부산경남본부,N00534,산청지사,0350,통영대전선/중부선,하남,함양휴게소(하),107.310,,22351.000,,,,100,,,,22.000,,,ILP포장
N01800,대구경북본부,N02432,성주지사,0450,중부내륙선,창원,남성주휴게소,76.000,33000.000,,,,300,,,,25.000,,,,
N01800,대구경북본부,N02432,성주지사,0450,중부내륙선,양평,남성주휴게소,75.000,33000.000,,,,300,,,,25.000,,,,
N02723,충북본부,N01046,보은지사,0303,청주상주선,청주,문의 임시휴게소,5.600,5737.000,,,,300,,,,25.000,,,,
N02723,충북본부,N01046,보은지사,0303,청주상주선,청주,상주 임시휴게소,74.460,5700.000,,,,300,,,,25.000,,,,
N02723,충북본부,N01046,보은지사,0303,청주상주선,청주,속리산휴게소,43.546,13026.000,,,,300,,,,25.000,,,,
N02723,충북본부,N01046,보은지사,0303,청주상주선,상주,상주 임시휴게소,74.460,5700.000,,,,300,,,,25.000,,,,
N02723,충북본부,N01046,보은지사,0303,청주상주선,상주,화서휴게소,48.300,15180.000,,,,300,,,,25.000,,,,
N02723,충북본부,N01046,보은지사,0303,청주상주선,상주,문의 임시휴게소,5.600,5737.000,,,,300,,,,25.000,,,,
N01801,부산경남본부,N00490,울산지사,0655,부산포항선,포항,장안휴게소,25.803,16444.000,,,,300,,,,25.000,,,,
